"radioMode:vector manet.host[1].wlan[0].radio ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
0,0
0,0
0,2
0.110365688617,3
0.110403688617,2
1.110220688617,3
1.110258688617,2
2.110220688617,3
2.110258688617,2
3.129379474219,3
3.129417474219,2
3.130089195515,3
3.130123195515,2
3.130367401166,3
3.130409401166,2
3.130589401166,3
3.130631401166,2
3.131225401166,3
3.131267401166,2
3.131663401166,3
3.131705401166,2
3.132506401166,3
3.132548401166,2
3.132672122187,3
3.132714122187,2
3.132984843182,3
3.133018843182,2
3.133182564153,3
3.133224564153,2
3.134014087452,3
3.134056087452,2
3.134935487032,3
3.134977487032,2
3.136444506266,3
3.136486506266,2
3.136963506266,3
3.137005506266,2
3.137183226853,3
3.137225226853,2
3.137477226853,3
3.137519226853,2
3.137704439128,3
3.137746439128,2
3.138556439128,3
3.138598439128,2
3.139956261624,3
3.139998261624,2
3.140821356832,3
3.140863356832,2
3.147937226783,3
3.147979226783,2
3.148150226783,3
3.148192226783,2
3.148453226783,3
3.148495226783,2
3.148699946251,3
3.148741946251,2
3.148858946251,3
3.148900946251,2
3.149555946227,3
3.149597946227,2
3.150434946227,3
3.150476946227,2
3.152528946227,3
3.152570946227,2
3.157373279387,3
3.157415279387,2
3.161042279387,3
3.161084279387,2
3.161237279387,3
3.161279279387,2
3.161621279387,3
3.161663279387,2
3.161789279387,3
3.161831279387,2
3.161963997558,3
3.162005997558,2
3.162221997558,3
3.162263997558,2
3.162704997558,3
3.162746997558,2
3.163826997558,3
3.163868997558,2
3.164687997558,3
3.164729997558,2
3.166587715372,3
3.166629715372,2
3.170121715267,3
3.170163715267,2
3.170361715267,3
3.170403715267,2
3.170718715267,3
3.170760715267,2
3.171282715267,3
3.171324715267,2
3.172053715267,3
3.172095715267,2
3.173580715267,3
3.173622715267,2
3.173710432293,3
3.173752432293,2
3.174004432293,3
3.174046432293,2
3.174604432293,3
3.174646432293,2
3.175114432293,3
3.175156432293,2
3.17528914917,3
3.17533114917,2
3.17549314917,3
3.17553514917,2
3.17616514917,3
3.17620714917,2
3.176357865945,3
3.176399865945,2
7.123467480901,3
7.123505480901,2
7.124250051617,3
7.124284051617,2
7.124366051617,3
7.124408051617,2
7.124543051617,3
7.124585051617,2
7.124765051617,3
7.124807051617,2
7.125176051617,3
7.125218051617,2
7.125713051617,3
7.125755051617,2
7.125899051617,3
7.125941051617,2
7.130319396729,3
7.130353396729,2
7.132757396729,3
7.132799396729,2
7.132930965635,3
7.132972965635,2
7.133134965635,3
7.133176965635,2
7.133392965635,3
7.133434965635,2
7.134136965635,3
7.134178965635,2
7.134583965635,3
7.134625965635,2
